"Температура, С","Давление, мм.рт.ст.",Влажность %,"Уровень рад., мкЗв/час",Уровень газа,"Время, ч.м.с."
20.96,752.1,47.56,0.02,0,09:03:43
20.96,752.13,47.5,0.03,0,09:03:44
20.96,752.13,47.65,0.03,0,09:03:45
20.97,752.11,48.02,0.03,0,09:03:46
20.98,752.16,47.51,0.04,0,09:03:47
20.98,752.12,47.3,0.04,0,09:03:48
20.98,752.14,47.56,0.04,0,09:03:50
20.99,752.15,47.88,0.04,0,09:03:51
20.97,752.13,47.4,0.04,0,09:03:52
21.0,752.13,47.63,0.04,0,09:03:53
21.01,754.35,51.1,0.05,0,09:03:54
21.03,752.61,53.2,0.05,0,09:03:55
21.04,752.31,54.17,0.05,0,09:03:56
21.03,752.26,55.49,0.05,0,09:03:58
21.04,752.22,55.87,0.05,0,09:03:59
21.04,752.15,57.02,0.05,0,09:04:00
21.01,753.24,56.73,0.05,0,09:04:01
21.01,752.15,56.49,0.05,0,09:04:02
20.97,752.13,55.2,0.06,0,09:04:03
21.03,752.13,54.67,0.06,0,09:04:04
21.08,752.14,56.01,0.06,0,09:04:06
21.17,752.16,60.51,0.06,0,09:04:07
22.25,752.03,67.68,0.06,0,09:04:08
25.87,752.1,73.79,0.06,0,09:04:09
27.12,752.06,77.76,0.07,0,09:04:10
26.55,752.06,75.43,0.08,0,09:04:11
28.62,752.03,78.76,0.08,0,09:04:12
27.79,752.06,76.3,0.09,0,09:04:14
27.21,752.05,75.19,0.09,0,09:04:15
26.8,752.04,74.77,0.09,0,09:04:16
26.38,752.01,74.88,0.09,0,09:04:17
26.04,752.04,74.64,0.1,0,09:04:18
25.76,752.03,75.42,0.1,0,09:04:19
25.5,752.09,75.71,0.1,0,09:04:20
25.23,752.1,76.56,0.11,0,09:04:22
24.98,752.1,76.22,0.11,0,09:04:23
24.7,752.1,76.59,0.11,0,09:04:24
24.39,752.09,76.34,0.12,0,09:04:25
24.11,752.08,76.6,0.12,0,09:04:26
23.88,752.08,76.65,0.12,0,09:04:27
23.65,752.09,76.88,0.12,0,09:04:28
23.48,752.13,77.25,0.12,0,09:04:30
23.32,752.08,77.16,0.13,0,09:04:31
23.11,752.1,76.83,0.13,0,09:04:32
22.9,752.1,76.79,0.12,0,09:04:33
22.82,752.07,76.65,0.12,0,09:04:34
22.67,752.08,76.86,0.12,0,09:04:35
22.57,752.08,76.4,0.12,0,09:04:37
22.47,752.1,76.36,0.12,0,09:04:38
22.4,752.06,76.37,0.12,0,09:04:39
22.3,752.09,76.0,0.12,0,09:04:40
22.21,752.11,75.42,0.11,0,09:04:41
22.16,752.06,75.27,0.12,0,09:04:42
22.12,752.06,75.09,0.14,0,09:04:43
22.08,752.07,74.68,0.13,0,09:04:45
22.04,752.08,74.75,0.13,0,09:04:46
22.0,752.09,74.36,0.12,0,09:04:47
21.93,752.12,74.04,0.12,0,09:04:48
21.9,752.15,73.58,0.12,0,09:04:49
